approach,attack_type,n_trials,final_nsw_ratio_mean,final_nsw_ratio_ci95,avg_malicious_resource_share_mean,avg_malicious_resource_share_ci95,final_detection_rate_mean,final_detection_rate_ci95,final_fp_rate_mean,final_fp_rate_ci95,final_min_util_mean,final_min_util_ci95,final_fairness_gap_mean,final_fairness_gap_ci95
adaptive_alpha,burst,100,0.6973919298041011,0.021005666362892087,0.11449642315516885,0.02919743332556759,0.75,0.08487048957087498,0.0,0.0,4.821232888837352,0.15745168251329117,1.3458674309428633,0.06525297284598884
adaptive_alpha,byzantine,100,0.7074127518488896,0.034792506287978406,0.13367736329169436,0.04409143416318621,0.75,0.08487048957087498,0.0,0.0,4.886336501528867,0.2548946447719612,1.3934157576221224,0.07399766029270632
adaptive_alpha,compound,100,0.6770814788897225,0.02588578775556727,0.1475185104702552,0.034655228439821426,0.68,0.0820161057353981,0.0,0.0,4.679723780246024,0.1923776766496837,1.3144381273266021,0.06593485818107017
adaptive_alpha,reputation_poison,100,0.6972697034302238,0.017467576457334204,0.14787573237692497,0.0288107387551945,0.5,0.098,0.0,0.0,4.799556477247187,0.1373906953155552,1.3644859893728591,0.06767702088682409
adaptive_alpha,trust_mimicry,100,0.6958394458193237,0.01741269460597211,0.147123865742667,0.028732275894490622,0.5,0.098,0.0,0.0,4.79556752452602,0.13615983026582332,1.356060785570937,0.0682152712550292
baseline_fixed_alpha,burst,100,0.6075379594015251,0.018151360810904918,0.11005119459157393,0.02807913911834404,0.75,0.08487048957087498,0.0,0.0,4.18327211291928,0.13509081030629144,1.2085116963280194,0.05958818616248825
baseline_fixed_alpha,byzantine,100,0.592268103387077,0.028559354419303833,0.12111756127409735,0.0398322262002506,0.75,0.08487048957087498,0.0,0.0,4.078641568558957,0.20779194702792073,1.1974633677366857,0.0659216350248656
baseline_fixed_alpha,compound,100,0.5856882814912021,0.0219208824867635,0.1388497073926645,0.0324449448544377,0.68,0.0820161057353981,0.0,0.0,4.028422352539754,0.16321219518986974,1.1854925941422785,0.057980318088150753
baseline_fixed_alpha,reputation_poison,100,0.5997228548901922,0.015536634741979504,0.14670243024651228,0.028579025159860865,0.5,0.098,0.0,0.0,4.117407627097517,0.12037443102006488,1.21149778183024,0.05878904017552951
baseline_fixed_alpha,trust_mimicry,100,0.5997796143437784,0.015555071372223747,0.14627299332318563,0.02856229814539466,0.5,0.098,0.0,0.0,4.118854774151105,0.1205145285820896,1.211578178869941,0.05993064485399814
expert_advice,burst,100,0.7462272365153322,0.022547878453059514,0.11906129463877352,0.02999712424486673,0.75,0.08487048957087498,0.0,0.0,5.152993962018444,0.1699671903846464,1.4420427717336215,0.06686859888810251
expert_advice,byzantine,100,0.7261456208230322,0.036118215708003665,0.13808259199277104,0.045385867892200546,0.75,0.08487048957087498,0.0,0.0,5.016214081611122,0.26480918237759743,1.434327239358682,0.07340202160377765
expert_advice,compound,100,0.7179442458337951,0.027601785183711907,0.15310198616944462,0.03589650527550635,0.68,0.0820161057353981,0.0,0.0,4.943942117275256,0.2033572950772184,1.4166353082535426,0.07104769049865155
expert_advice,reputation_poison,100,0.7416602768584509,0.018414016935571827,0.14861958400567646,0.02894617444872505,0.5,0.098,0.0,0.0,5.097311654130405,0.1457306164361926,1.4595795682215578,0.0702428753499262
expert_advice,trust_mimicry,100,0.7417924121461784,0.018398879614285046,0.14811656990974048,0.02887975011505447,0.5,0.098,0.0,0.0,5.102402603101265,0.1452107502671648,1.4549439944853864,0.07131552995053624
generalized_mean_greedy,burst,100,0.5869372092345707,0.016610497809044694,0.1092795448458399,0.027590947085310152,0.75,0.08487048957087498,0.0,0.0,4.232598951988792,0.12464366769665321,0.7991763839770463,0.032466499619031204
generalized_mean_greedy,byzantine,100,0.5871565791687515,0.021552073764396877,0.10885297318958807,0.03571290799805045,0.75,0.08487048957087498,0.0,0.0,4.237294335182706,0.1598866154413057,0.7918571307009445,0.03578419419576652
generalized_mean_greedy,compound,100,0.5725675956043337,0.01827372181836697,0.13279778668739622,0.030456729923379906,0.68,0.0820161057353981,0.0,0.0,4.1281580858793125,0.13551350015951644,0.7749497284768024,0.030894985365833093
generalized_mean_greedy,reputation_poison,100,0.5663526522785793,0.01685351392420189,0.14711449076972896,0.02865428935767188,0.5,0.098,0.0,0.0,4.086049256401209,0.12560505208040423,0.7667152125573619,0.032585548962067744
generalized_mean_greedy,trust_mimicry,100,0.5664202933001202,0.01686358505175774,0.1468827316595383,0.028655899951861352,0.5,0.098,0.0,0.0,4.08621078545845,0.12574707261915216,0.7672533506419554,0.03258589880654708
pace_trusted,burst,100,0.6077986916549386,0.014792554376664343,0.09645377460225804,0.024437858216194215,0.75,0.08487048957087498,0.0,0.0,3.9474661128855293,0.12291760418244776,1.7655097460475562,0.08430176523097446
pace_trusted,byzantine,100,0.6199390722712603,0.01501492094840658,0.07902150167190562,0.025592958830516037,0.75,0.08487048957087498,0.0,0.0,4.060775124502189,0.11847094021922092,1.7391939957208402,0.08870005040687362
pace_trusted,compound,100,0.5971835681434058,0.0150619468872259,0.1125716083179034,0.02527951555081221,0.68,0.0820161057353981,0.0,0.0,3.8929494558493847,0.11896848404565823,1.7132140184000917,0.08446542229264524
pace_trusted,reputation_poison,100,0.579876466597957,0.01706509700805179,0.14764543962772866,0.02897520044890105,0.5,0.098,0.0,0.0,3.8027842194527812,0.12493710532191242,1.6488875709454234,0.08591749683320933
pace_trusted,trust_mimicry,100,0.5802170008469261,0.01700090996441105,0.14658251125712748,0.02881082417060161,0.5,0.098,0.0,0.0,3.797088540292001,0.12709422773466528,1.6473508419598024,0.08651596396387985
pure_equal_alpha1,burst,100,0.3331778638254773,0.008467870130939581,0.0879262719225219,0.02307553351619142,0.75,0.08487048957087498,0.0,0.0,2.4472277502217725,0.062469475976471844,0.34648186891394317,0.016049948902885185
pure_equal_alpha1,byzantine,100,0.33876113538358205,0.008848759067504222,0.07267156593406594,0.024111071469353006,0.75,0.08487048957087498,0.0,0.0,2.4888029600489094,0.06530848692257868,0.35250697432213257,0.016292697967866233
pure_equal_alpha1,compound,100,0.3279356730997485,0.008646120976908252,0.10233675366300365,0.023458336168639665,0.68,0.0820161057353981,0.0,0.0,2.408846948515804,0.06335387428600843,0.3416350998417185,0.016084709188449998
pure_equal_alpha1,reputation_poison,100,0.3129684931978593,0.010218505903620983,0.14328845321345324,0.027893089323171378,0.5,0.098,0.0,0.0,2.299085592802227,0.07530559820150642,0.326087080138358,0.01646950335347342
pure_equal_alpha1,trust_mimicry,100,0.3131023638530572,0.010217093708452033,0.1429053868353868,0.027888093646233854,0.5,0.098,0.0,0.0,2.3001406041745076,0.07528270387332565,0.3265445876707421,0.016446519820831614
pure_greedy_alpha0,burst,100,0.8684404755641606,0.026334610432896054,0.12523262420978695,0.03145356475223744,0.75,0.08487048957087498,0.0,0.0,5.9631616555031215,0.19881391049771463,1.7425807000209361,0.08106333847738798
pure_greedy_alpha0,byzantine,100,0.8475733432644253,0.04163404400062291,0.14881169279453393,0.049234034253519694,0.75,0.08487048957087498,0.0,0.0,5.814581589968616,0.30639805401327647,1.7416184677986888,0.08498017388269478
pure_greedy_alpha0,compound,100,0.8358622147612796,0.03198199345764134,0.16270361353854557,0.03829089826362703,0.68,0.0820161057353981,0.0,0.0,5.720071333856378,0.23429553320325067,1.7016395003798883,0.08097638090273934
pure_greedy_alpha0,reputation_poison,100,0.8656814397679511,0.020985728402663422,0.14995097189644974,0.029219995739853077,0.5,0.098,0.0,0.0,5.914884509205214,0.16627208856426193,1.7768660931493399,0.07816008224273603
pure_greedy_alpha0,trust_mimicry,100,0.8659590177018777,0.020949529284681943,0.14923351381688754,0.02910938570519232,0.5,0.098,0.0,0.0,5.924085866065724,0.16474429003392796,1.759175381010366,0.08026926757715172
robust_aggregation,burst,100,0.5903286583472296,0.016053488229916087,0.10469519700115815,0.02674229028047363,0.75,0.08487048957087498,0.0,0.0,4.189282055662846,0.11793532355544456,0.9186347770744431,0.044717549019077686
