approach,trust_mode,n_trials,final_nsw_ratio_mean,final_nsw_ratio_ci95,avg_malicious_resource_share_mean,avg_malicious_resource_share_ci95,final_detection_rate_mean,final_detection_rate_ci95,final_fp_rate_mean,final_fp_rate_ci95,final_min_util_mean,final_min_util_ci95,final_fairness_gap_mean,final_fairness_gap_ci95
adaptive_alpha,algorithm1,125,0.6808903378119444,0.013466840517692964,0.171272254191153,0.020122223152890074,0.544,0.08110971642904444,0.0,0.0,4.682780260275878,0.10514765678993082,1.3457232762613955,0.059428959506508935
adaptive_alpha,no_trust,125,0.520803686664427,0.01450756371631388,0.37976719967969963,0.015671340867426244,0.0,0.0,0.0,0.0,3.5212602130353976,0.10720319921526986,1.1910596844621044,0.05637830028302062
adaptive_alpha,oracle,125,0.7897758123820714,0.0024428442283463067,0.0,0.0,1.0,0.0,0.0,0.0,5.4955098733999055,0.039148134594211195,1.4407625402993307,0.05904003525243633
adaptive_alpha,sparse_online,125,0.7885264109753662,0.0024294611425463458,0.0015140621585156106,0.00021747926196268518,1.0,0.0,0.0,0.0,5.486383391197178,0.03908928469973034,1.441868971645477,0.05932687257369218
baseline_fixed_alpha,algorithm1,125,0.5822706478660006,0.01062206741848487,0.1679895540843802,0.020063752928956704,0.544,0.08110971642904444,0.0,0.0,3.9913128769128985,0.0843645168383914,1.191105541493268,0.05152143101279294
baseline_fixed_alpha,no_trust,125,0.44886897279803595,0.01243451982119424,0.36086880525044857,0.012410069528053144,0.0,0.0,0.0,0.0,3.0292406214907603,0.09175298446409191,1.0389861227534885,0.04855914149167214
baseline_fixed_alpha,oracle,125,0.6790758813198912,0.00045033224306646974,0.0,0.0,1.0,0.0,0.0,0.0,4.705184831914353,0.031283486918930375,1.290213755871729,0.05187239979578578
baseline_fixed_alpha,sparse_online,125,0.6777819488270924,0.000532284192671002,0.0015367501275982019,0.00022536637260609527,1.0,0.0,0.0,0.0,4.695540417895278,0.0313845520145315,1.291329475007246,0.0521596196605944
expert_advice,algorithm1,125,0.7185511449676094,0.012519254419856518,0.17497117918096505,0.020025909670732995,0.544,0.08110971642904444,0.0,0.0,4.933198247978373,0.1003470414757101,1.4278747366430886,0.061740093587754265
expert_advice,no_trust,125,0.5509958301370936,0.01668755291876915,0.3886696996571698,0.016740908738684036,0.0,0.0,0.0,0.0,3.711415716245793,0.12102708795847537,1.2832359831412037,0.05872437356197526
expert_advice,oracle,125,0.8355470831587163,0.0004307226429008247,0.0,0.0,1.0,0.0,0.0,0.0,5.808961608741815,0.035919344831573,1.5282935264641475,0.06113623098891645
expert_advice,sparse_online,125,0.8339217754780118,0.0005006071501648636,0.0019447425349899772,0.00023318847502149412,1.0,0.0,0.0,0.0,5.796715961543212,0.03573700794936294,1.5266188593937928,0.06127432208195982
generalized_mean_greedy,algorithm1,125,0.5530354819942487,0.011839917668469853,0.1687792718207087,0.02014652442147924,0.544,0.08110971642904444,0.0,0.0,3.9846796371238917,0.08775621136596312,0.7594538199951436,0.027188854553972516
generalized_mean_greedy,no_trust,125,0.44644677709895825,0.005827915377537401,0.3453999782967737,0.00901581135586426,0.0,0.0,0.0,0.0,3.2056646416284034,0.04654258726980176,0.6409680240016855,0.021794703132411886
generalized_mean_greedy,oracle,125,0.6526007765604771,0.0005776414683937595,0.0,0.0,1.0,0.0,0.0,0.0,4.717234952761849,0.025081828219718272,0.8601356286744968,0.025250547038899045
generalized_mean_greedy,sparse_online,125,0.6514644280154005,0.0005799647145665819,0.0017627716041908029,0.00020891296150721747,1.0,0.0,0.0,0.0,4.70866990041423,0.024851559836903354,0.8594039724119624,0.025211449221079114
pace_trusted,algorithm1,125,0.5680499712310291,0.012125567398355417,0.16457186838556298,0.02068835809841782,0.544,0.08110971642904444,0.0,0.0,3.6993661398017785,0.09166438667759236,1.659859227203422,0.0776805969767148
