approach,attack_type,n_rounds,n_trials_completed,avg_nsw,std_nsw,avg_ratio,std_ratio,avg_dr,std_dr,avg_fpr,avg_min_util,avg_fairness_gap,avg_conv,avg_alg1_f1,avg_spec_f1,avg_sparse_f1,avg_offline_nsw
baseline_fixed_alpha,byzantine,400,25,5.258095017620279,0.056710598239437277,0.6715475805540173,0.006652447008913279,1.0,0.0,0.0,4.648504052345299,1.280048516959722,5.04,1.0,0.5066666666666667,1.0,7.830782990614182
baseline_fixed_alpha,burst,400,25,4.844176196967391,0.15477821713127937,0.6186489967766127,0.018478394826244214,1.0,0.0,0.0,4.255404784955541,1.228002219493265,28.04,1.0,0.5066666666666667,1.0,7.830782990614182
baseline_fixed_alpha,reputation_poison,400,25,4.075656114999137,0.07762470892313003,0.5204724872799783,0.005838682770746218,0.0,0.0,0.0,3.5337172930521374,1.1293151144357534,384.0,0.0,0.45333333333333337,1.0,7.830782990614182
baseline_fixed_alpha,trust_mimicry,400,25,4.075969046214625,0.07749617471964558,0.5205099452454586,0.005561376002366323,0.0,0.0,0.0,3.5361341716259393,1.128136157389334,176.08,0.0,0.4853333333333334,1.0,7.830782990614182
adaptive_alpha,byzantine,400,25,6.302041617620358,0.08439035861691628,0.8048353150342397,0.006176531635490208,1.0,0.0,0.0,5.594927267916305,1.4814888311344676,5.04,1.0,0.5066666666666667,1.0,7.830782990614182
adaptive_alpha,burst,400,25,5.576252892071891,0.1883278516377824,0.7121029034260595,0.021362829907787793,1.0,0.0,0.0,4.92639605322859,1.356364318305143,28.04,1.0,0.5066666666666667,1.0,7.830782990614182
adaptive_alpha,reputation_poison,400,25,4.763686687119034,0.09385548430968686,0.6083393732077227,0.007814520194325431,0.0,0.0,0.0,4.1322452973135615,1.288471403929534,384.0,0.0,0.45333333333333337,1.0,7.830782990614182
adaptive_alpha,trust_mimicry,400,25,4.755181745491617,0.09436208646118767,0.6072499454208027,0.007646450757490037,0.0,0.0,0.0,4.136317045758262,1.2765458308229103,176.08,0.0,0.4853333333333334,1.0,7.830782990614182
pace_trusted,byzantine,400,25,5.162404443320741,0.13337322484496103,0.659252853294813,0.013600423380702274,1.0,0.0,0.0,4.327970454664594,1.859506451149601,5.04,1.0,0.5066666666666667,1.0,7.830782990614182
pace_trusted,burst,400,25,4.810519513865907,0.17567286170604082,0.6143190051505542,0.020464240951126533,1.0,0.0,0.0,3.981583822211161,1.8369737181580996,28.04,1.0,0.5066666666666667,1.0,7.830782990614182
pace_trusted,reputation_poison,400,25,3.867716726250036,0.1196090108522516,0.494016461433273,0.016588187757157345,0.0,0.0,0.0,3.2231567922795907,1.4351855614203182,384.0,0.0,0.45333333333333337,1.0,7.830782990614182
pace_trusted,trust_mimicry,400,25,3.8696945961056803,0.11304437508290348,0.49427844224467776,0.01609970198248268,0.0,0.0,0.0,3.2045298303853316,1.4394614984732386,176.08,0.0,0.4853333333333334,1.0,7.830782990614182
generalized_mean_greedy,byzantine,400,25,5.068319234091353,0.08296326070657496,0.6472393562452949,0.0036897836505285957,1.0,0.0,0.0,4.676868230123628,0.858223957643489,5.04,1.0,0.5066666666666667,1.0,7.830782990614182
generalized_mean_greedy,burst,400,25,4.672878000157135,0.14667844415778777,0.5967461061678769,0.016552975097846,1.0,0.0,0.0,4.299272689205541,0.8254992464245402,28.04,1.0,0.5066666666666667,1.0,7.830782990614182
generalized_mean_greedy,reputation_poison,400,25,3.762379276842177,0.0630121198367168,0.48049517719543927,0.0061557408086155615,0.0,0.0,0.0,3.4578677619686884,0.6718191981733429,384.0,0.0,0.45333333333333337,1.0,7.830782990614182
generalized_mean_greedy,trust_mimicry,400,25,3.762213170128896,0.06369141686147171,0.48047244127276684,0.0061473095884912845,0.0,0.0,0.0,3.45703897855375,0.6727509505380884,176.08,0.0,0.4853333333333334,1.0,7.830782990614182
sample_resolving,byzantine,400,25,4.403912455603618,0.066097847402252,0.5624036303365173,0.0030261529871024075,1.0,0.0,0.0,4.095054579759472,0.6774600533943271,5.04,1.0,0.5066666666666667,1.0,7.830782990614182
sample_resolving,burst,400,25,4.063161357004441,0.12015622107533908,0.5188947123741883,0.013793801083629105,1.0,0.0,0.0,3.7686385100437163,0.651209957469287,28.04,1.0,0.5066666666666667,1.0,7.830782990614182
sample_resolving,reputation_poison,400,25,3.2360423590742147,0.047399779552943104,0.4132842455241834,0.004799207606336543,0.0,0.0,0.0,3.002752946997161,0.5134391810573419,384.0,0.0,0.45333333333333337,1.0,7.830782990614182
sample_resolving,trust_mimicry,400,25,3.234918519383973,0.047669989886318404,0.41313543323083557,0.004372555748621562,0.0,0.0,0.0,3.0013191004189697,0.5138559492810656,176.08,0.0,0.4853333333333334,1.0,7.830782990614182
expert_advice,byzantine,400,25,6.4749305777260675,0.08264989740911126,0.8269199027984315,0.006017954800697464,1.0,0.0,0.0,5.748999642284715,1.517585303158082,5.04,1.0,0.5066666666666667,1.0,7.830782990614182
expert_advice,burst,400,25,5.939524879292102,0.1960329652515029,0.7585159573139668,0.02285871980410915,1.0,0.0,0.0,5.243846348915736,1.4392555008825747,28.04,1.0,0.5066666666666667,1.0,7.830782990614182
expert_advice,reputation_poison,400,25,5.072352910542767,0.09809982298995945,0.6477564845261411,0.007877435917941227,0.0,0.0,0.0,4.3832485500589335,1.3885532177146962,384.0,0.0,0.45333333333333337,1.0,7.830782990614182
expert_advice,trust_mimicry,400,25,5.073330529345227,0.09763727706819389,0.647879623402976,0.007602103761327041,0.0,0.0,0.0,4.39269648319779,1.378686817553796,176.08,0.0,0.4853333333333334,1.0,7.830782990614182
robust_aggregation,byzantine,400,25,5.072410813797724,0.06632518669360232,0.6478407487993997,0.008635687148393877,1.0,0.0,0.0,4.607773737965393,0.989816945857128,5.04,1.0,0.5066666666666667,1.0,7.830782990614182
robust_aggregation,burst,400,25,4.6928472733258655,0.12982297216009683,0.5993594944501975,0.016493452789032872,1.0,0.0,0.0,4.23152023757025,0.986397380643512,28.04,1.0,0.5066666666666667,1.0,7.830782990614182
robust_aggregation,reputation_poison,400,25,3.8472170499443026,0.053835466554591184,0.4913836830369419,0.008434632422510357,0.0,0.0,0.0,3.517397804132871,0.7104812807337317,384.0,0.0,0.45333333333333337,1.0,7.830782990614182
robust_aggregation,trust_mimicry,400,25,3.8431248847050754,0.049897692877571086,0.49085438692923544,0.007617559936583932,0.0,0.0,0.0,3.5198165723623562,0.7041752850958624,176.08,0.0,0.4853333333333334,1.0,7.830782990614182
