approach,attack_type,trial,seed,final_nsw_legit,final_nsw_ratio,final_dr,final_fpr,final_min_util,final_fairness_gap,conv_round,spectral_f1,sparse_f1,alg1_f1,offline_nsw
baseline_fixed_alpha,byzantine,0,42,5.276135546724011,0.6604695581065922,1.0,0.0,4.522785877706623,1.6001195025956898,0,0.4,1.0,1.0,7.988461363532675
baseline_fixed_alpha,byzantine,1,55,5.303595181349054,0.66199666309178,1.0,0.0,4.7555491533722405,0.9602273049343628,0,0.6666666666666666,1.0,1.0,8.011513466819027
baseline_fixed_alpha,byzantine,2,68,5.256940111850135,0.6769620541853864,1.0,0.0,4.850432614712434,1.3750504269674906,0,0.6666666666666666,1.0,1.0,7.76548711903211
baseline_fixed_alpha,byzantine,3,81,5.2497115006114115,0.6784753830359225,1.0,0.0,4.87973740340546,1.1182076897208377,0,0.6666666666666666,1.0,1.0,7.737512121841362
baseline_fixed_alpha,byzantine,4,94,5.322820325478485,0.6770949230712052,1.0,0.0,4.8890427103491225,1.155327695531783,0,0.6666666666666666,1.0,1.0,7.8612616106098345
baseline_fixed_alpha,byzantine,5,107,5.22734641566732,0.6711745463928978,1.0,0.0,4.531809488623413,1.3770916809748126,1,0.4,1.0,1.0,7.788356164220942
baseline_fixed_alpha,byzantine,6,120,5.25465224767005,0.6768965691346075,1.0,0.0,4.671657205823355,1.1980859578667662,0,0.6666666666666666,1.0,1.0,7.762858444367607
baseline_fixed_alpha,byzantine,7,133,5.302281143919155,0.672814961560845,1.0,0.0,4.756991655117831,1.222445348157068,9,0.4,1.0,1.0,7.880742026928976
baseline_fixed_alpha,byzantine,8,146,5.241996011248916,0.6677739461173937,1.0,0.0,4.839292830954511,1.2202937548935928,4,0.4,1.0,1.0,7.849955874629737
baseline_fixed_alpha,byzantine,9,159,5.2566988615452255,0.6664192166017825,1.0,0.0,4.592445266219906,1.9783584831743335,0,0.4,1.0,1.0,7.887976112619147
baseline_fixed_alpha,byzantine,10,172,5.221344129619219,0.6704027642090772,1.0,0.0,4.45869124352312,1.4705075159520309,0,0.4,1.0,1.0,7.7883690348133
baseline_fixed_alpha,byzantine,11,185,5.298094879813996,0.6719945548852205,1.0,0.0,4.551716684444033,1.4059882017778724,9,0.4,1.0,1.0,7.8841336455753455
baseline_fixed_alpha,byzantine,12,198,5.269930023221181,0.6612542780408384,1.0,0.0,4.755022192051933,1.1204272523117949,15,0.4,1.0,1.0,7.969596867992914
baseline_fixed_alpha,byzantine,13,211,5.176546198529957,0.6798281954253609,1.0,0.0,4.481252220130525,1.85792752786754,0,0.6666666666666666,1.0,1.0,7.614491769190376
baseline_fixed_alpha,byzantine,14,224,5.158839804034863,0.6746155614611935,1.0,0.0,4.729450412081147,0.9275355828407186,1,0.4,1.0,1.0,7.647080943198224
baseline_fixed_alpha,byzantine,15,237,5.123967624460746,0.676782629688553,1.0,0.0,4.263109680608963,1.6485088880337324,0,0.6666666666666666,1.0,1.0,7.571068463767654
baseline_fixed_alpha,byzantine,16,250,5.2694957555487685,0.671940379851972,1.0,0.0,4.886181312585519,0.8702378123111965,9,0.4,1.0,1.0,7.842207305221983
baseline_fixed_alpha,byzantine,17,263,5.266585588239257,0.6548737251354656,1.0,0.0,4.630246323576933,1.2285989727145896,32,0.4,1.0,1.0,8.042139096586634
